timestamp,trial_id,controller,climate,workload,repeat,T_tank_hot,T_tank_mid,T_rad_in,T_rad_out,T_ambient,RH_ambient,heater_w_cmd,heater_w_meas,fan_pwm,fan_w,forecast_T,forecast_RH,bank_depth_cmd,water_event_flag,notes
2026-07-04T20:22:12,reactive_hot_humid_bursty_r1,reactive,hot_humid,bursty,1,31.005,30.705,30.505,28.005,25.0,45.0,60.0,,40.0,0.8,,,,0,warmup
2026-07-04T20:22:12,reactive_hot_humid_bursty_r1,reactive,hot_humid,bursty,1,31.017,30.717,30.517,28.017,25.0,45.0,60.0,,0.0,0.0,30.17,,,0,trial
2026-07-04T20:22:12,reactive_hot_humid_bursty_r1,reactive,hot_humid,bursty,1,31.025,30.725,30.525,28.025,25.0,45.0,60.0,,0.0,0.0,30.17,,,0,trial
2026-07-04T20:22:12,reactive_hot_humid_bursty_r1,reactive,hot_humid,bursty,1,31.032,30.732,30.532,28.032,25.0,45.0,60.0,,0.0,0.0,30.17,,,0,trial
2026-07-04T20:22:12,reactive_hot_humid_bursty_r1,reactive,hot_humid,bursty,1,31.039,30.739,30.539,28.039,25.0,45.0,60.0,,0.0,0.0,30.17,,,0,trial
2026-07-04T20:22:12,reactive_hot_humid_bursty_r1,reactive,hot_humid,bursty,1,31.047,30.747,30.547,28.047,25.0,45.0,60.0,,0.0,0.0,30.17,,,0,trial
2026-07-04T20:22:12,reactive_hot_humid_bursty_r1,reactive,hot_humid,bursty,1,31.054,30.754,30.554,28.054,25.0,45.0,60.0,,0.0,0.0,30.17,,,0,trial
2026-07-04T20:22:12,reactive_hot_humid_bursty_r1,reactive,hot_humid,bursty,1,31.061,30.761,30.561,28.061,25.0,45.0,60.0,,0.0,0.0,30.17,,,0,trial
2026-07-04T20:22:12,reactive_hot_humid_bursty_r1,reactive,hot_humid,bursty,1,31.068,30.768,30.568,28.068,25.0,45.0,60.0,,0.0,0.0,30.17,,,0,trial
2026-07-04T20:22:12,reactive_hot_humid_bursty_r1,reactive,hot_humid,bursty,1,31.076,30.776,30.576,28.076,25.0,45.0,60.0,,0.0,0.0,30.17,,,0,trial
2026-07-04T20:22:12,reactive_hot_humid_bursty_r1,reactive,hot_humid,bursty,1,31.083,30.783,30.583,28.083,25.0,45.0,60.0,,0.0,0.0,30.17,,,0,trial
2026-07-04T20:22:12,reactive_hot_humid_bursty_r1,reactive,hot_humid,bursty,1,31.09,30.79,30.59,28.09,25.0,45.0,60.0,,0.0,0.0,30.17,,,0,trial
2026-07-04T20:22:12,reactive_hot_humid_bursty_r1,reactive,hot_humid,bursty,1,31.097,30.797,30.597,28.097,25.0,45.0,60.0,,0.0,0.0,30.17,,,0,trial
2026-07-04T20:22:12,reactive_hot_humid_bursty_r1,reactive,hot_humid,bursty,1,31.105,30.805,30.605,28.105,25.0,45.0,60.0,,0.0,0.0,30.17,,,0,trial
2026-07-04T20:22:12,reactive_hot_humid_bursty_r1,reactive,hot_humid,bursty,1,31.112,30.812,30.612,28.112,25.0,45.0,60.0,,0.0,0.0,30.17,,,0,trial
2026-07-04T20:22:12,reactive_hot_humid_bursty_r1,reactive,hot_humid,bursty,1,31.119,30.819,30.619,28.119,25.0,45.0,60.0,,0.0,0.0,30.18,,,0,trial
2026-07-04T20:22:12,reactive_hot_humid_bursty_r1,reactive,hot_humid,bursty,1,31.126,30.826,30.626,28.126,25.0,45.0,60.0,,0.0,0.0,30.18,,,0,trial
2026-07-04T20:22:12,reactive_hot_humid_bursty_r1,reactive,hot_humid,bursty,1,31.134,30.834,30.634,28.134,25.0,45.0,60.0,,0.0,0.0,30.18,,,0,trial
2026-07-04T20:22:12,reactive_hot_humid_bursty_r1,reactive,hot_humid,bursty,1,31.141,30.841,30.641,28.141,25.0,45.0,60.0,,0.0,0.0,30.18,,,0,trial
2026-07-04T20:22:12,reactive_hot_humid_bursty_r1,reactive,hot_humid,bursty,1,31.148,30.848,30.648,28.148,25.0,45.0,60.0,,0.0,0.0,30.18,,,0,trial
2026-07-04T20:22:12,reactive_hot_humid_bursty_r1,reactive,hot_humid,bursty,1,31.155,30.855,30.655,28.155,25.0,45.0,60.0,,0.0,0.0,30.18,,,0,trial
2026-07-04T20:22:12,reactive_hot_humid_bursty_r1,reactive,hot_humid,bursty,1,31.163,30.863,30.663,28.163,25.0,45.0,60.0,,0.0,0.0,30.18,,,0,trial
